,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Newala_cluster,datetime,day of year,month,ndvi,target,year,evi
6075,0.16935,0.441725,0.312125,0.1655,0.1868,0.192125,0.2551249999999999,0.311325,0.3395,0.354025,0.3818,0.3780249999999999,0.0,4.5,Newala DC 03-03,2022-10-24 07:42:53,297.0,10.0,0.33048743302696343,1.0,2022.0,0.4335973665260776
6076,0.160375,0.4452,0.3256,0.170325,0.190475,0.198325,0.259225,0.3104249999999999,0.34785,0.3628,0.3920499999999999,0.3887,0.0,4.5,Newala DC 03-03,2022-11-08 07:42:49,312.0,11.0,0.328138894770273,1.0,2022.0,0.44247130702906395
6077,0.191025,0.4619999999999999,0.3183749999999999,0.1839,0.198325,0.21275,0.261625,0.3162999999999999,0.35265,0.377875,0.406925,0.3986999999999999,0.0,4.5,Newala DC 03-03,2022-11-03 07:42:54,307.0,11.0,0.3133497397829507,1.0,2022.0,0.44625620518477666
6078,0.1502,0.4383499999999999,0.3157,0.157375,0.17315,0.191875,0.24025,0.286425,0.32445,0.352075,0.37545,0.370275,0.0,4.5,Newala DC 03-03,2022-11-08 07:42:49,312.0,11.0,0.32357995857753497,1.0,2022.0,0.42195814322327063
6079,0.16695,0.4212749999999999,0.29715,0.16185,0.1779,0.19415,0.23965,0.28225,0.30935,0.3331,0.362425,0.3577,0.0,4.5,Newala DC 03-03,2022-11-23 07:42:50,327.0,11.0,0.3023402057224992,1.0,2022.0,0.39272544809559373
6080,0.16435,0.413325,0.295075,0.16185,0.1752,0.1909,0.2317,0.27185,0.30145,0.323075,0.348525,0.3451499999999999,0.0,4.5,Newala DC 03-03,2022-12-03 07:42:50,337.0,12.0,0.29220929693655284,1.0,2022.0,0.3709958340198178
6081,0.1992499999999999,0.43565,0.3193,0.1809499999999999,0.191775,0.2007499999999999,0.2461499999999999,0.290125,0.32385,0.3397,0.372125,0.374675,0.0,4.5,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.29914902902029256,1.0,2022.0,0.4000350140056024
6082,0.1691,0.43355,0.31245,0.17205,0.189,0.20295,0.246475,0.300625,0.3266,0.347675,0.3688,0.36865,0.0,4.5,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.290074333187582,1.0,2022.0,0.3895478567234293
7204,0.167825,0.4793,0.3466499999999999,0.16845,0.189325,0.2106499999999999,0.2582,0.3112,0.34295,0.36185,0.3878749999999999,0.3901,0.0,4.75,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.29610291967754077,1.0,2022.0,0.4133431290232298
7205,0.174925,0.532225,0.3909,0.182725,0.205075,0.2314,0.2873,0.340575,0.3792,0.4020749999999999,0.4325749999999999,0.431675,0.0,4.75,Newala DC 03-03,2022-10-19 07:42:49,292.0,10.0,0.30298580518844825,1.0,2022.0,0.4633340242750868
7206,0.173075,0.508425,0.364325,0.1723,0.1969,0.225,0.277475,0.328925,0.3617749999999999,0.380775,0.4146999999999999,0.411175,0.0,4.75,Newala DC 03-03,2022-10-24 07:42:53,297.0,10.0,0.296545255588557,1.0,2022.0,0.4402617898254732
7207,0.200175,0.484225,0.3682249999999999,0.20575,0.22,0.23835,0.2871499999999999,0.349225,0.378775,0.39195,0.42135,0.411625,0.0,4.75,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.27739881764438384,1.0,2022.0,0.43005193523370866
7208,0.1804,0.5348999999999999,0.42395,0.193475,0.22605,0.259825,0.318025,0.3766,0.4115749999999999,0.42135,0.458725,0.4101749999999999,0.0,4.75,Newala DC 03-03,2022-11-23 07:42:50,327.0,11.0,0.27680745946698215,1.0,2022.0,0.4651597890527252
7209,0.159775,0.4728,0.35235,0.163975,0.1862749999999999,0.220025,0.263175,0.312675,0.338375,0.365825,0.384475,0.39425,0.0,4.75,Newala DC 03-03,2022-11-13 07:42:53,317.0,11.0,0.27204301075268816,1.0,2022.0,0.3898998281074032
7210,0.17145,0.442975,0.3198499999999999,0.174975,0.1916999999999999,0.2071,0.2503249999999999,0.300725,0.32625,0.3529,0.37075,0.371775,0.0,4.75,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.2832049839923856,1.0,2022.0,0.3859305725874918
7211,0.1677249999999999,0.39855,0.3004,0.1800749999999999,0.1898999999999999,0.197075,0.24675,0.29335,0.3248499999999999,0.333125,0.362375,0.3558249999999999,0.0,4.75,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.2954687639646081,1.0,2022.0,0.3873870706928675
9623,0.158725,0.410475,0.277875,0.1565499999999999,0.17445,0.194675,0.240325,0.31055,0.3485499999999999,0.3654999999999999,0.399025,0.403675,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3441974060973556,0.0,2022.0,0.4614898205756484
9624,0.161075,0.428175,0.30465,0.15915,0.177225,0.197075,0.240775,0.30245,0.331975,0.3490999999999999,0.374075,0.3724,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.30990107677492773,0.0,2022.0,0.4103063388852186
9625,0.160725,0.391875,0.26325,0.1558999999999999,0.17585,0.178175,0.234475,0.319475,0.35665,0.3706,0.40635,0.4045,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3903596937684445,0.0,2022.0,0.5007846192676154
9626,0.1631,0.4239,0.302225,0.1629,0.17735,0.189075,0.23405,0.2923,0.32125,0.340675,0.369975,0.371725,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.32358465253555135,0.0,2022.0,0.41629750658735004
9627,0.161625,0.42545,0.292,0.162375,0.179775,0.2013499999999999,0.24765,0.3092749999999999,0.34475,0.363325,0.3962,0.394275,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3260814994561127,0.0,2022.0,0.44519843717869645
9628,0.165075,0.4299,0.323875,0.17425,0.1891499999999999,0.20305,0.24795,0.2972,0.3332,0.329825,0.37105,0.352825,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.2926319456540672,0.0,2022.0,0.3938207646686513
9629,0.161275,0.387675,0.263075,0.15545,0.1738,0.174525,0.230975,0.310875,0.348725,0.3757,0.396275,0.392575,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.38848983882270494,0.0,2022.0,0.4886567723311187
9630,0.1671,0.415,0.29345,0.16075,0.179,0.180675,0.2324,0.29585,0.32865,0.3621,0.37315,0.364525,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.3475375795603304,0.0,2022.0,0.436594798743351
9631,0.1673,0.421975,0.300175,0.1619749999999999,0.1812,0.1846499999999999,0.234875,0.295025,0.3268999999999999,0.36565,0.368175,0.365925,0.0,4.0,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.33197666530999886,0.0,2022.0,0.42046600073313795
9632,0.169175,0.43045,0.3143,0.17125,0.189,0.1863,0.24555,0.302175,0.336825,0.3735,0.383775,0.368375,0.0,4.0,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.3464017892382581,0.0,2022.0,0.4470491023928644
9633,0.16935,0.397475,0.291625,0.1668,0.1852,0.17765,0.239425,0.3046,0.344625,0.3724,0.384725,0.368075,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.36821515892420537,0.0,2022.0,0.4629443326626425
9634,0.16355,0.385825,0.2614,0.161125,0.177775,0.18575,0.234525,0.308825,0.340775,0.3562,0.39135,0.3858,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3562640790157685,0.0,2022.0,0.461929048057696
9635,0.164925,0.4161249999999999,0.298675,0.16515,0.1805999999999999,0.1916749999999999,0.233675,0.290475,0.319975,0.333625,0.36305,0.36025,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.3089368606066071,0.0,2022.0,0.3983473379589277
9636,0.1619749999999999,0.395275,0.290475,0.171825,0.184375,0.18535,0.2366749999999999,0.2927999999999999,0.325325,0.329825,0.366,0.356825,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.3276503128684139,0.0,2022.0,0.41510604563523973
9637,0.161625,0.3682999999999999,0.25285,0.15775,0.17135,0.178475,0.224125,0.291075,0.328425,0.3455749999999999,0.374175,0.37975,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3541120057902832,0.0,2022.0,0.44217494944473934
