,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,mtwara_cluster,datetime,day of year,month,ndvi,target,year,evi
30,0.14805,0.3971,0.2897,0.15445,0.17945,0.1863,0.25205,0.3692249999999999,0.41945,0.4321,0.4499499999999999,0.399275,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.41438113948919447,1.0,2022.0,0.5631140538231524
31,0.1458249999999999,0.4068,0.3032249999999999,0.149475,0.1745249999999999,0.188875,0.24075,0.309075,0.336375,0.3434,0.3716,0.391375,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.3260181096391454,1.0,2022.0,0.4197535118247706
32,0.16355,0.4331,0.3278,0.171175,0.19125,0.205,0.2612,0.34295,0.3835,0.3883,0.4196749999999999,0.43515,0.0,4.0,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3436587025253131,1.0,2022.0,0.48255670195787514
33,0.1823,0.44545,0.325825,0.1818749999999999,0.20305,0.21885,0.2724999999999999,0.3605,0.389475,0.40715,0.43005,0.44015,0.0,4.0,Mtwara DC 01-11,2022-10-14 07:42:51,287.0,10.0,0.32547387887193713,1.0,2022.0,0.4792267023666357
34,0.152475,0.0,0.316375,0.1621999999999999,0.1858,0.201225,0.259975,0.329675,0.363225,0.3677,0.0,0.0,0.0,4.0,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.7205521637154674
35,0.165925,0.45865,0.334925,0.167025,0.199075,0.2194,0.28075,0.360425,0.3966,0.3956,0.436325,0.446725,0.0,4.0,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.330817034580045,1.0,2022.0,0.4897943055837793
36,0.151675,0.4305,0.3163,0.157275,0.186025,0.2068749999999999,0.263075,0.333325,0.359225,0.37315,0.403175,0.4136,0.0,4.0,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3217769035324976,1.0,2022.0,0.4490500863557861
37,0.1478,0.443125,0.330625,0.15965,0.1897999999999999,0.2093,0.274125,0.34465,0.385675,0.39555,0.43145,0.433925,0.0,4.0,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.34670308232539987,1.0,2022.0,0.4969798657718121
38,0.16475,0.409575,0.318675,0.1681,0.190625,0.203725,0.259825,0.326125,0.371675,0.3544,0.3984,0.4083,0.0,4.0,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.3233132655179572,1.0,2022.0,0.445353159851301
39,0.13305,0.445225,0.3276,0.1417749999999999,0.1774,0.189525,0.2575,0.3563499999999999,0.397825,0.3889,0.435675,0.44305,0.0,4.0,Mtwara DC 01-11,2022-12-18 07:42:46,352.0,12.0,0.39371401151631474,1.0,2022.0,0.5344638533942742
40,0.14715,0.369775,0.267225,0.150075,0.173225,0.16895,0.223,0.333875,0.3689,0.3571499999999999,0.392725,0.40595,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.39840655183157525,1.0,2022.0,0.49103616255595534
41,0.1432999999999999,0.40275,0.31925,0.143725,0.17315,0.1886,0.239525,0.329575,0.354575,0.36845,0.380275,0.37745,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.3369369369369369,1.0,2022.0,0.4366670463606333
42,0.1639,0.44335,0.351175,0.166,0.192175,0.203025,0.2639249999999999,0.373725,0.4125,0.4343,0.4423749999999999,0.4334749999999999,0.0,4.0,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3708552835450882,1.0,2022.0,0.5258879233633974
