,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Nanyamba_cluster,datetime,day of year,month,ndvi,target,year
1389,0.15595,0.408275,0.3355,0.157175,0.19095,0.192075,0.275325,0.3789,0.407425,0.41005,0.436875,0.387325,0.0,4.0,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3620095495121445,1.0,2022.0
1390,0.190475,0.4272249999999999,0.3536,0.193025,0.2219,0.2143499999999999,0.30885,0.414975,0.462075,0.4548,0.490425,0.4267499999999999,0.0,4.0,Nanyamba TC 05-12,2022-12-08 07:42:43,342.0,12.0,0.3593364716431295,1.0,2022.0
1391,0.168525,0.467,0.389075,0.194175,0.2324999999999999,0.244,0.311925,0.400325,0.437875,0.4448,0.470675,0.460275,0.0,4.0,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.2915214866434378,1.0,2022.0
1392,0.170025,0.468375,0.378525,0.1881,0.2246,0.23725,0.3096,0.3959,0.427275,0.4377,0.460375,0.4511,0.0,4.0,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.2969849618490258,1.0,2022.0
1393,0.162525,0.4576749999999999,0.38285,0.185,0.2203,0.2352999999999999,0.30705,0.3836,0.421625,0.4304,0.450475,0.4333749999999999,0.0,4.0,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.2930749586901008,1.0,2022.0
1394,0.168025,0.463475,0.372575,0.18295,0.2194,0.2344,0.30755,0.386925,0.415225,0.4263,0.453175,0.4321,0.0,4.0,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.2904495232329347,1.0,2022.0
1395,0.1818,0.470575,0.350625,0.2013749999999999,0.2300499999999999,0.25215,0.29665,0.3833999999999999,0.4177499999999999,0.4478999999999999,0.46425,0.452175,0.0,4.0,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.2796228840797085,1.0,2022.0
1396,0.1780749999999999,0.4641499999999999,0.3554,0.2050999999999999,0.2330499999999999,0.2533,0.301675,0.3851,0.426025,0.445,0.468775,0.452825,0.0,4.0,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.2745238436202205,1.0,2022.0
1397,0.152,0.428225,0.3339749999999999,0.1835999999999999,0.21155,0.2299,0.271225,0.34425,0.38125,0.4039,0.417975,0.40395,0.0,4.0,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.2745345534869044,1.0,2022.0
1398,0.1476,0.417725,0.32425,0.173575,0.2052999999999999,0.2223,0.265625,0.3389,0.3762,0.39675,0.41455,0.394625,0.0,4.0,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.2818027622970681,1.0,2022.0
1399,0.1929999999999999,0.4704,0.35305,0.21585,0.24295,0.2554,0.30465,0.39165,0.4433,0.44365,0.487525,0.467925,0.0,4.0,Nanyamba TC 05-12,2022-12-08 07:42:43,342.0,12.0,0.2692940419140261,1.0,2022.0
1400,0.15365,0.409425,0.2911,0.154475,0.1837,0.1848,0.2531,0.375775,0.42485,0.4373,0.4681,0.4534,0.0,4.0,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.4058832985050636,1.0,2022.0
1401,0.184125,0.476025,0.3380249999999999,0.1832249999999999,0.21205,0.21455,0.295,0.4306999999999999,0.476875,0.4963,0.528025,0.51535,0.0,4.0,Nanyamba TC 05-12,2022-09-24 07:42:54,267.0,9.0,0.3963564746430331,1.0,2022.0
1402,0.191325,0.5020749999999999,0.3812,0.2073,0.238,0.2548,0.3188,0.426225,0.4804,0.486,0.525525,0.50945,0.0,4.0,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.3120950323974081,1.0,2022.0
1403,0.20205,0.458725,0.346875,0.203075,0.23415,0.2468999999999999,0.313975,0.42325,0.474425,0.4618,0.519375,0.499575,0.0,4.0,Nanyamba TC 05-12,2022-11-03 07:42:51,307.0,11.0,0.3032312685198252,1.0,2022.0
1404,0.157975,0.44625,0.3540999999999999,0.1718,0.204175,0.2223,0.277625,0.379275,0.42425,0.4302,0.4579999999999999,0.44625,0.0,4.0,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.3186206896551724,1.0,2022.0
1405,0.1604999999999999,0.442675,0.333325,0.1659749999999999,0.2004999999999999,0.21725,0.275425,0.3717749999999999,0.411775,0.42055,0.4511999999999999,0.43975,0.0,4.0,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.3187519598620257,1.0,2022.0
1406,0.152675,0.442525,0.350125,0.1700749999999999,0.200975,0.221075,0.2714,0.3647749999999999,0.409525,0.41685,0.444675,0.4276,0.0,4.0,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3068934435866285,1.0,2022.0
1407,0.1607249999999999,0.4299,0.331875,0.164625,0.2004,0.21485,0.275525,0.3703499999999999,0.409625,0.4167999999999999,0.4423249999999999,0.426625,0.0,4.0,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3197181983693499,1.0,2022.0
